id,Brand_name,Model_name,Year,Total_Price,Zero_Down_Payment,Owner,Oil,KM_on_Road,Transmission
119, Maruti , Maruti Vitara Brezza,2019,838929,18662,1st Owner,Diesel,44471,VDI Manual
120, Maruti , Maruti Wagon R ,2017,445899,9919,1st Owner,Petrol,25038,VXI Manual
121, MG , MG HECTOR,2019,1742999,38772,1st Owner,Diesel,73681,SHARP 2.0 DIESEL Manual
122, Ford , Ford Ecosport,2016,669399,14890,1st Owner,Petrol,66563,1.5 TITANIUM TI VCT AT Automatic
123, Maruti , Maruti Wagon R ,2016,449999,10010,1st Owner,Petrol + CNG,41834,LXI CNG Manual
124, Maruti , Maruti Ciaz,2018,867499,19297,1st Owner,Petrol,27292,ALPHA 1.4 VVT Manual
125, MG , MG HECTOR,2019,1721399,38292,1st Owner,Diesel,49110,SHARP 2.0 DIESEL Manual
126, Hyundai , Hyundai Elite i,2017,643499,14314,1st Owner,Petrol,35165,ASTA 1.2 Manual
127, Skoda , Skoda Rapid,2021,1400399,31151,1st Owner,Petrol,3357,STYLE 1.0 AT Automatic
128, Hyundai , Hyundai Verna,2017,752499,16739,2nd Owner,Petrol,43088,FLUIDIC 1.6 SX VTVT Manual
129, Honda , Honda Jazz,2018,691399,15380,1st Owner,Petrol,53415,1.2 V AT Automatic
130, Maruti , Maruti Alto ,2017,305599,6798,1st Owner,Petrol,20050,LXI Manual
131, Maruti , Maruti Dzire,2018,762599,16964,2nd Owner,Diesel,30362,ZDI Plus Manual
132, Maruti , Maruti Dzire,2018,719799,16012,1st Owner,Diesel,53333,VDI AMT Automatic
133, Honda , Honda City,2017,757699,16855,1st Owner,Petrol,19415,V MT PETROL Manual
134, Maruti , Maruti Baleno,2016,558499,12424,1st Owner,Petrol,51684,DELTA 1.2 K12 Manual
135, Jeep , Jeep Compass,2017,1418599,31556,1st Owner,Diesel,78451,LIMITED (O) 2.0 4*4 Manual
136, Maruti , Maruti Baleno,2019,694299,15444,1st Owner,Petrol,44408,ZETA 1.2 K12 Manual
137, Tata , Tata TIGOR,2020,740099,16463,1st Owner,Petrol,12618,XZ PLUS 1.2 REVOTRON Manual
138, Tata , Tata ALTROZ,2020,805399,17916,1st Owner,Petrol,16667,XZ 1.2 Manual
139, Tata , Tata ALTROZ,2020,814959,18128,1st Owner,Petrol,17689,XZ 1.2 Manual
140, Ford , Ford Ecosport,2016,756699,16832,1st Owner,Diesel,71,1.5 TITANIUMTDCI OPT Manual
141, MG , MG HECTOR,2019,1610038,35814,2nd Owner,Diesel,28867,SHARP 2.0 DIESEL 
142, Maruti , Maruti S Cross,2018,889548,19788,1st Owner,Diesel,47301,ZETA 1.3 SHVS Manual
143, Hyundai , Hyundai Creta,2017,924099,20556,1st Owner,Petrol,32930,SX PLUS 1.6 DUAL TONE VTVT Manual
144, Maruti , Maruti S Cross,2019,1130699,25152,1st Owner,Diesel,20768,ZETA SHVS Manual
145, Maruti , Maruti Ciaz,2017,750699,16699,1st Owner,Petrol,8142,ZETA 1.4 VVT Manual
146, Maruti , Maruti Baleno,2018,633999,14103,1st Owner,Petrol,21197,DELTA 1.2 K12 Manual
147, Maruti , Maruti Vitara Brezza,2016,717999,15971,1st Owner,Diesel,53131,VDI Manual
148, Tata , Tata ALTROZ,2020,791949,17616,1st Owner,Petrol,10543,XZ 1.2 Manual
149, Hyundai , Hyundai Grand i,2017,652399,14512,1st Owner,Diesel,13313,ASTA 1.2 CRDI Manual
150, Maruti , Maruti Baleno,2017,577599,12848,1st Owner,Petrol,69516,ALPHA 1.2 K12 Manual
151, Maruti , Maruti Baleno,2017,594299,13220,1st Owner,Petrol,23954,DELTA 1.2 K12 Manual
152, Honda , Honda City,2017,918699,20436,1st Owner,Petrol,25701,VX MT PETROL Manual
153, Maruti , Maruti Baleno,2018,675499,15026,2nd Owner,Petrol,17514,ALPHA 1.2 K12 Manual
154, Maruti , Maruti Baleno,2019,750799,16701,1st Owner,Petrol,12212,ZETA 1.2 K12 Manual
155, Mahindra , Mahindra TUV,2017,823099,18309,1st Owner,Diesel,47726,T8 Manual
156, Maruti , Maruti S PRESSO,2020,476899,10608,1st Owner,Petrol,13332,VXI Manual
157, Maruti , Maruti Baleno,2017,616199,13707,2nd Owner,Petrol,37322,RS 1.0 PETROL Manual
158, Honda , Honda Amaze,2019,776999,17284,1st Owner,Petrol,13105,1.2 V CVT I VTEC Automatic
159, Maruti , Maruti Alto,2019,398155,8857,1st Owner,Petrol,14577,VXI Manual
160, Hyundai , Hyundai VENUE,2019,1119599,24905,1st Owner,Petrol,9179,1.0 TURBO GDI SX+ AT Automatic
161, Ford , Ford Ecosport,2017,742199,16510,2nd Owner,Petrol,34647,1.5 TITANIUM TI VCT AT Automatic
162, Maruti , Maruti S PRESSO,2021,484199,10771,1st Owner,Petrol,5952,VXI PLUS Manual
163, Hyundai , Hyundai Elite i,2017,658499,14648,1st Owner,Petrol,47830,ASTA 1.2 Manual
164, Maruti , Maruti S PRESSO,2020,535799,11919,1st Owner,Petrol,8355,VXI PLUS AGS Automatic
